s__Prevotella_copri_clade_A,28.3318,ERR10900567
s__Bifidobacterium_longum,16.29945,ERR10900567
s__Megasphaera_sp_NM10,7.95919,ERR10900567
s__Bifidobacterium_bifidum,7.441,ERR10900567
s__Faecalibacterium_prausnitzii,7.42686,ERR10900567
s__Phocaeicola_coprophilus,5.41608,ERR10900567
s__Bifidobacterium_breve,3.48614,ERR10900567
s__Ligilactobacillus_ruminis,3.05612,ERR10900567
s__Phocaeicola_plebeius,2.21691,ERR10900567
s__Phocaeicola_dorei,1.52841,ERR10900567
s__Phascolarctobacterium_succinatutens,1.28007,ERR10900567
s__Prevotella_copri_clade_B,1.26612,ERR10900567
s__Megamonas_funiformis,1.13135,ERR10900567
s__Bacteroides_thetaiotaomicron,1.03871,ERR10900567
s__Holdemanella_biformis,0.65596,ERR10900567
s__Candidatus_Catenibacterium_tridentinum,0.64852,ERR10900567
s__Parabacteroides_merdae,0.6475,ERR10900567
s__Bacteroides_fragilis,0.56042,ERR10900567
s__Sutterella_wadsworthensis,0.50112,ERR10900567
s__Lacrimispora_amygdalina,0.48793,ERR10900567
s__Blautia_wexlerae,0.45387,ERR10900567
s__Dorea_sp_AF24_7LB,0.44181,ERR10900567
s__Paratractidigestivibacter_faecalis,0.43345,ERR10900567
s__Anaerobutyricum_soehngenii,0.43341,ERR10900567
s__Flavonifractor_plautii,0.40761,ERR10900567
s__Dorea_formicigenerans,0.38613,ERR10900567
s__Faecalibacterium_SGB15346,0.386,ERR10900567
s__Catenibacterium_mitsuokai,0.38086,ERR10900567
s__Bacteroides_xylanisolvens,0.38012,ERR10900567
s__Collinsella_bouchesdurhonensis,0.33761,ERR10900567
s__Bacteroides_uniformis,0.32896,ERR10900567
s__Clostridium_symbiosum,0.32596,ERR10900567
s__Akkermansia_muciniphila,0.31989,ERR10900567
s__Clostridium_sp_AM22_11AC,0.31595,ERR10900567
s__Fusicatenibacter_saccharivorans,0.31331,ERR10900567
s__Campylobacter_coli,0.31276,ERR10900567
s__Fusobacterium_mortiferum,0.24442,ERR10900567
s__Ruminococcus_gnavus,0.23838,ERR10900567
s__Ruminococcus_torques,0.21145,ERR10900567
s__Holdemanella_porci,0.15969,ERR10900567
s__Bilophila_wadsworthia,0.12382,ERR10900567
s__Clostridiaceae_bacterium_Marseille_Q4143,0.11212,ERR10900567
s__Streptococcus_salivarius,0.09563,ERR10900567
s__Faecalibacterium_prausnitzii,0.0924,ERR10900567
s__Faecalibacterium_prausnitzii,0.09135,ERR10900567
s__Clostridium_fessum,0.0883,ERR10900567
s__Limosilactobacillus_mucosae,0.08582,ERR10900567
s__Veillonella_atypica,0.08412,ERR10900567
s__Alistipes_finegoldii,0.07364,ERR10900567
s__Lacrimispora_celerecrescens,0.0717,ERR10900567
s__Escherichia_coli,0.06732,ERR10900567
s__Eggerthella_lenta,0.0648,ERR10900567
s__Barnesiella_intestinihominis,0.05807,ERR10900567
s__Romboutsia_timonensis,0.05743,ERR10900567
s__Duodenibacillus_massiliensis,0.05708,ERR10900567
s__Clostridium_sp_AM33_3,0.04386,ERR10900567
s__Clostridium_SGB6179,0.04261,ERR10900567
s__Agathobaculum_butyriciproducens,0.04078,ERR10900567
